,0
0,1946
1,1946
2,1946
3,1946
4,1946
5,1946
6,1946
7,1946
8,1990
9,1990
10,1990
11,1990
12,1990
13,1990
14,1990
15,1990
16,1990
17,1990
18,1990
19,1990
20,1990
21,1990
22,1990
23,1990
24,1990
25,1990
26,1990
27,1990
28,1990
29,1990
30,1990
31,1990
32,1990
33,1990
34,1990
35,1990
36,1990
37,1990
38,1990
39,1990
40,1990
41,1990
42,1877
43,1877
44,1877
45,1877
46,1877
47,1877
48,1877
49,1877
50,1979
51,1979
52,1979
53,1979
54,1979
55,1990
56,1990
57,1990
58,1990
59,1990
60,1990
61,1990
62,1990
63,1990
64,1990
65,1990
66,1990
67,1990
68,1990
69,1990
70,1990
71,1990
72,1990
73,1990
74,1990
75,1990
76,1990
77,1990
78,1877
79,1877
80,1877
81,1877
82,1877
83,1877
84,1877
85,1877
86,1877
87,1877
88,1877
89,1877
90,1877
91,1877
92,1877
93,1979
94,1979
95,1979
96,1979
97,1979
98,1979
99,1979
100,1990
101,1990
102,1990
103,1990
104,1990
105,1990
106,1990
107,1990
108,1990
109,1990
110,1990
111,1990
112,1990
113,1990
114,1990
115,1990
116,1990
117,1990
118,1990
119,1990
120,1990
121,1990
122,1990
123,1990
124,1990
125,1990
126,1990
127,1990
128,1990
129,1990
130,1990
131,1990
132,1990
133,1990
134,1990
135,1990
136,1990
137,1990
138,1990
139,1990
140,1990
141,1990
142,1990
143,1990
144,1990
145,1990
146,1990
147,1990
148,1990
149,1990
150,1990
151,1990
152,1990
153,1990
154,1990
155,1990
156,1990
157,1990
158,1990
159,1990
160,1990
161,1990
162,1990
163,1990
164,1990
165,1990
166,1990
167,1990
168,1990
169,1990
170,1990
171,1990
172,1990
173,1990
174,1990
175,1990
176,1990
177,1990
178,1946
179,1946
180,1946
181,1946
182,1946
183,1946
184,1946
185,1946
186,1990
187,1990
188,1990
189,1990
190,1990
191,1990
192,1990
193,1990
194,1990
195,1990
196,1990
197,1990
198,1990
199,1990
200,1990
201,1990
202,1990
203,1990
204,1990
205,1990
206,1990
207,1990
208,1990
209,1990
210,1990
211,1990
212,1990
213,1990
214,1990
215,1990
216,1990
217,1990
218,1990
219,1990
220,1877
221,1877
222,1877
223,1877
224,1877
225,1877
226,1877
227,1877
228,1979
229,1979
230,1979
231,1979
232,1979
233,1990
234,1990
235,1990
236,1990
237,1990
238,1990
239,1990
240,1990
241,1990
242,1990
243,1990
244,1990
245,1990
246,1990
247,1990
248,1990
249,1990
250,1990
251,1990
252,1990
253,1990
254,1990
255,1990
256,1877
257,1877
258,1877
259,1877
260,1877
261,1877
262,1877
263,1877
264,1877
265,1877
266,1877
267,1877
268,1877
269,1877
270,1877
271,1979
272,1979
273,1979
274,1979
275,1979
276,1979
277,1979
278,1990
279,1990
280,1990
281,1990
282,1990
283,1990
284,1990
285,1990
286,1990
287,1990
288,1990
289,1990
290,1990
291,1990
292,1990
293,1990
294,1990
295,1990
296,1990
297,1990
298,1990
299,1990
300,1990
301,1990
302,1990
303,1990
304,1990
305,1990
306,1990
307,1990
308,1990
309,1990
310,1990
311,1990
312,1990
313,1990
314,1990
315,1990
316,1990
317,1990
318,1990
319,1990
320,1990
321,1990
322,1990
323,1990
324,1990
325,1990
326,1990
327,1990
328,1990
329,1990
330,1990
331,1990
332,1990
333,1990
334,1990
335,1990
336,1990
337,1990
338,1990
339,1990
340,1990
341,1990
342,1990
343,1990
344,1990
345,1990
346,1990
347,1990
348,1990
349,1990
350,1990
351,1990
352,1990
353,1990
354,1990
355,1990
356,1946
357,1946
358,1946
359,1946
360,1946
361,1946
362,1946
363,1946
364,1990
365,1990
366,1990
367,1990
368,1990
369,1990
370,1990
371,1990
372,1990
373,1990
374,1990
375,1990
376,1990
377,1990
378,1990
379,1990
380,1990
381,1990
382,1990
383,1990
384,1990
385,1990
386,1990
387,1990
388,1990
389,1990
390,1990
391,1990
392,1990
393,1990
394,1990
395,1990
396,1990
397,1990
398,1877
399,1877
400,1877
401,1877
402,1877
403,1877
404,1877
405,1877
406,1979
407,1979
408,1979
409,1979
410,1979
411,1990
412,1990
413,1990
414,1990
415,1990
416,1990
417,1990
418,1990
419,1990
420,1990
421,1990
422,1990
423,1990
424,1990
425,1990
426,1990
427,1990
428,1990
429,1990
430,1990
431,1990
432,1990
433,1990
434,1877
435,1877
436,1877
437,1877
438,1877
439,1877
440,1877
441,1877
442,1877
443,1877
444,1877
445,1877
446,1877
447,1877
448,1877
449,1979
450,1979
451,1979
452,1979
453,1979
454,1979
455,1979
456,1990
457,1990
458,1990
459,1990
460,1990
461,1990
462,1990
463,1990
464,1990
465,1990
466,1990
467,1990
468,1990
469,1990
470,1990
471,1990
472,1990
473,1990
474,1990
475,1990
476,1990
477,1990
478,1990
479,1990
480,1990
481,1990
482,1990
483,1990
484,1990
485,1990
486,1990
487,1990
488,1990
489,1990
490,1990
491,1990
492,1990
493,1990
494,1990
495,1990
496,1990
497,1990
498,1990
499,1990
500,1990
501,1990
502,1990
503,1990
504,1990
505,1990
506,1990
507,1990
508,1990
509,1990
510,1990
511,1990
512,1990
513,1990
514,1990
515,1990
516,1990
517,1990
518,1990
519,1990
520,1990
521,1990
522,1990
523,1990
524,1990
525,1990
526,1990
527,1990
528,1990
529,1990
530,1990
531,1990
532,1990
533,1990
534,1946
535,1946
536,1946
537,1946
538,1946
539,1946
540,1946
541,1946
542,1990
543,1990
544,1990
545,1990
546,1990
547,1990
548,1990
549,1990
550,1990
551,1990
552,1990
553,1990
554,1990
555,1990
556,1990
557,1990
558,1990
559,1990
560,1990
561,1990
562,1990
563,1990
564,1990
565,1990
566,1990
567,1990
568,1990
569,1990
570,1990
571,1990
572,1990
573,1990
574,1990
575,1990
576,1877
577,1877
578,1877
579,1877
580,1877
581,1877
582,1877
583,1877
584,1979
585,1979
586,1979
587,1979
588,1979
589,1990
590,1990
