Gebäude;Quartier;Art Nutzung;Lüftung;Kühlung;Art Heizung
B001;1;Wohnen;Nein;Nein;Fernwärme
B002;1;Wohnen;Nein;Nein;Fernwärme
B003;1;Wohnen;Nein;Nein;Fernwärme
B004;1;Wohnen;Nein;Nein;Fernwärme
B005;2;Wohnen;Nein;Nein;Gas
B006;2;Wohnen;Nein;Nein;Fernwärme
B007;2;Wohnen;Nein;Nein;Gas
B008;2;Wohnen;Nein;Nein;Fernwärme
B009;3;Wohnen;Nein;Nein;Gas
B010;3;Wohnen;Nein;Nein;Gas
B011;3;Wohnen;Nein;Nein;Fernwärme
B012;3;Innenhof;Nein;Nein;Gas
B013;3;EG Gewerbe;Ja;Nein;Gas
B014;3;Gewerbe;Nein;Nein;Gas
B015;3;EG Restaurant;Nein;Nein;Gas
B016;4;Wohnen;Nein;Nein;Gas
B017;4;Wohnen;Nein;Nein;Gas
B018;4;Restaurant;Nein;Nein;Gas
B019;4;Wohnen;Nein;Nein;Fernwärme
B020;4;EG Gewerbe;Nein;Nein;Fernwärme
B021;4;Wohnen;Nein;Nein;Fernwärme
B022;4;EG Gewerbe;Nein;Nein;Gas
B023;4;Wohnen;Nein;Nein;Gas
B024;4;Innenhof;Nein;Nein;Gas
B025;5;Wohnen;Nein;Nein;Gas
B026;5;EG Gewerbe;Nein;Nein;Gas
B027;5;EG Gewerbe;Nein;Nein;Fernwärme
B028;5;Wohnen;Nein;Nein;Gas
B029;5;Wohnen;Nein;Nein;Gas
B030;5;EG Gewerbe;Nein;Nein;Fernwärme
B031;5;Wohnen;Nein;Nein;Gas
B032;6;Wohnen;Nein;Nein;Gas
B033;6;Wohnen;Nein;Nein;Gas
B034;6;EG Gewerbe;Nein;Nein;Gas
B035;6;Wohnen;Nein;Nein;Gas
B036;6;Wohnen;Nein;Nein;Fernwärme
B037;6;Wohnen;Nein;Nein;Gas
B038;6;EG Restaurant;Nein;Nein;Gas
B039;6;Innenhof;Nein;Nein;Gas
