Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B001,0.00,0.00,5986.12,0.00,0.00,5986.12,62189.75,0.00,0.00,56.09,0.00,0.00,56.09
B002,0.00,0.00,11346.30,0.00,0.00,11346.30,118848.52,0.00,0.00,105.71,0.00,0.00,105.71
B003,0.00,0.00,4092.56,0.00,0.00,4092.56,42766.06,0.00,0.00,41.35,0.00,0.00,41.35
B004,0.00,0.00,5076.57,0.00,0.00,5076.57,52858.42,0.00,0.00,48.03,0.00,0.00,48.03
B005,0.00,0.00,25433.61,0.00,0.00,25433.61,263402.44,0.00,0.00,240.36,0.00,0.00,240.36
B006,0.00,0.00,5161.71,0.00,0.00,5161.71,53639.27,0.00,0.00,48.55,0.00,0.00,48.55
B007,0.00,0.00,28652.21,0.00,0.00,28652.21,297894.86,0.00,0.00,268.90,0.00,0.00,268.90
B008,0.00,0.00,5301.78,0.00,0.00,5301.78,55063.55,0.00,0.00,49.70,0.00,0.00,49.70
B009,0.00,0.00,9403.12,0.00,0.00,9403.12,97646.42,0.00,0.00,88.15,0.00,0.00,88.15
B010,0.00,0.00,4838.36,0.00,0.00,4838.36,50396.05,0.00,0.00,46.29,0.00,0.00,46.29
B011,0.00,0.00,4217.98,0.00,0.00,4217.98,43875.37,0.00,0.00,41.33,0.00,0.00,41.33
B012,0.00,0.00,8996.22,0.00,0.00,8996.22,95342.77,0.00,0.00,106.16,0.00,0.00,106.16
B013,0.00,0.00,25937.57,0.00,0.00,25937.57,269900.41,0.00,0.00,245.42,0.00,0.00,245.42
B014,0.00,0.00,2651.50,0.00,0.00,2651.50,28381.60,0.00,0.00,26.25,0.00,0.00,26.25
B015,0.00,0.00,9327.43,0.00,0.00,9327.43,96894.99,0.00,0.00,87.39,0.00,0.00,87.39
B016,0.00,0.00,12966.34,0.00,0.00,12966.34,134671.36,0.00,0.00,121.53,0.00,0.00,121.53
B017,0.00,0.00,4448.82,0.00,0.00,4448.82,46332.42,0.00,0.00,43.49,0.00,0.00,43.49
B018,0.00,0.00,7857.03,0.00,0.00,7857.03,81659.08,0.00,0.00,73.79,0.00,0.00,73.79
B019,0.00,0.00,4703.14,0.00,0.00,4703.14,49314.74,0.00,0.00,50.74,0.00,0.00,50.74
B020,0.00,0.00,6156.30,0.00,0.00,6156.30,63953.59,0.00,0.00,57.68,0.00,0.00,57.68
B021,0.00,0.00,4682.76,0.00,0.00,4682.76,48295.56,0.00,0.00,44.30,0.00,0.00,44.30
B022,0.00,0.00,7583.60,0.00,0.00,7583.60,78873.21,0.00,0.00,71.54,0.00,0.00,71.54
B023,0.00,0.00,4970.74,0.00,0.00,4970.74,51606.01,0.00,0.00,46.70,0.00,0.00,46.70
B024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B025,0.00,0.00,4552.91,0.00,0.00,4552.91,46421.27,0.00,0.00,44.97,0.00,0.00,44.97
B026,0.00,0.00,6622.17,0.00,0.00,6622.17,68736.29,0.00,0.00,62.28,0.00,0.00,62.28
B027,0.00,0.00,34784.18,0.00,0.00,34784.18,361248.79,0.00,0.00,326.02,0.00,0.00,326.02
B028,0.00,0.00,8901.53,0.00,0.00,8901.53,92450.98,0.00,0.00,83.41,0.00,0.00,83.41
B029,0.00,0.00,6780.56,0.00,0.00,6780.56,70443.59,0.00,0.00,63.68,0.00,0.00,63.68
B030,0.00,0.00,9019.55,0.00,0.00,9019.55,93076.63,0.00,0.00,85.76,0.00,0.00,85.76
B031,0.00,0.00,6816.93,0.00,0.00,6816.93,70817.69,0.00,0.00,64.47,0.00,0.00,64.47
B032,0.00,0.00,7709.23,0.00,0.00,7709.23,80082.45,0.00,0.00,72.26,0.00,0.00,72.26
B033,0.00,0.00,5130.86,0.00,0.00,5130.86,53303.09,0.00,0.00,48.07,0.00,0.00,48.07
B034,0.00,0.00,7472.80,0.00,0.00,7472.80,77684.67,0.00,0.00,71.92,0.00,0.00,71.92
B035,0.00,0.00,10659.13,0.00,0.00,10659.13,109018.22,0.00,0.00,104.22,0.00,0.00,104.22
B036,0.00,0.00,6735.71,0.00,0.00,6735.71,69937.42,0.00,0.00,63.87,0.00,0.00,63.87
B037,0.00,0.00,5882.92,0.00,0.00,5882.92,61107.62,0.00,0.00,55.09,0.00,0.00,55.09
B038,0.00,0.00,6814.38,0.00,0.00,6814.38,70734.79,0.00,0.00,65.65,0.00,0.00,65.65
B039,0.00,0.00,9480.51,0.00,0.00,9480.51,101090.27,0.00,0.00,108.11,0.00,0.00,108.11
B040,0.00,0.00,1963.01,0.00,0.00,1963.01,20770.09,0.00,0.00,19.67,0.00,0.00,19.67
B041,0.00,0.00,4402.31,0.00,0.00,4402.31,45747.24,0.00,0.00,41.36,0.00,0.00,41.36
B042,0.00,0.00,2157.25,0.00,0.00,2157.25,23149.40,0.00,0.00,29.80,0.00,0.00,29.80
B043,0.00,0.00,7548.27,0.00,0.00,7548.27,78402.44,0.00,0.00,70.82,0.00,0.00,70.82
B044,0.00,0.00,5641.94,0.00,0.00,5641.94,58381.07,0.00,0.00,53.34,0.00,0.00,53.34
B045,0.00,0.00,4703.34,0.00,0.00,4703.34,48868.90,0.00,0.00,44.08,0.00,0.00,44.08
B046,0.00,0.00,7313.35,0.00,0.00,7313.35,76197.62,0.00,0.00,70.43,0.00,0.00,70.43
